data_dictionary_filename,study_id,study_name,study_description,study_url,clintrials_id
CPU0008-Dictionary.xlsx,NIDA-CPU-0008,"Double-Blind, Placebo-Controlled Assessment of Interactions Between Intravenous Methamphetamine and Modafinil",Study to assess the potential interactions between intravenous methamphetamine and oral Modafinil,https://datashare.nida.nih.gov/study/nida-cpu-0008,NCT00265278
CPU0010-Dictionary.xlsx,NIDA-CPU-0010,Assessment of Potential Interactions Between Intravenous Cocaine and Atomoxetine,This is a human laboratory clinical pharmacology study to assess potential interactions between intravenous (i.v.) cocaine and atomoxetine (Strattera) administered orally in four escalating doses.,https://datashare.nida.nih.gov/study/nidacpu0010,NCT00265265
CSP1019_DD.xlsx,NIDA-CSP-1019,"Double-Blind, Placebo-Controlled Trial Of Selegiline Transdermal System For The Treatment Of Cocaine Dependence","To assess the efficacy and safety of the Selegiline Transdermal System (STS) in reducing cocaine use in subjects with cocaine dependence. It is hypothesized that selegiline treatment, compared to placebo, will be associated with fewer days of cocaine use as assessed by self-report confirmed with urine assays for benzoylecgonine (BE).",https://datashare.nida.nih.gov/index.php/study/nidacsp1019,NCT00032929
CSP1020_DD.xlsx,NIDA-CSP-1020,"A Phase III Placebo-Controlled, Double-Blind Multi-Site Trial of Lofexidine for Opiate Withdrawal","The value of this pivotal Phase 3 efficacy trial is to investigate if a nonopiate such as lofexidine, an alpha-2-adrenergic agonist, is an effective medication for the alleviation of opiate detoxification symptoms in opiate dependent individuals.",https://datashare.nida.nih.gov/index.php/study/nida-csp-1020,NCT00032942
CSP1021_DD.xlsx,NIDA-CSP-1021,"Double-Blind, Placebo-Controlled Multi-Center Trial Of Baclofen For The Treatment Of Cocaine Dependence","To assess the efficacy and safety of baclofen in reducing cocaine use in subjects with cocaine dependence. It is hypothesized that baclofen treatment, compared to placebo, will be associated with fewer days of cocaine use as assessed by self-report confirmed with urine assays for benzoylecgonine (BE).",https://datashare.nida.nih.gov/index.php/study/nidacsp1021,NCT00082485
CSP1022_DD.xlsx,NIDA-CSP-1022,"Phase 2, Double-Blind, Placebo-Controlled Trial Of Selegiline Transdermal System (STS) As An Aid For Smoking Cessation",The objectives of this study are to determine the efficacy and safety of selegiline transdermal system (STS) and brief behavioral intervention for smoking cessation in heavy smokers.,https://datashare.nida.nih.gov/index.php/study/nidacsp1022,NCT00439413
CTO0007-Dictionary.xlsx,NIDA-CTO-0007,"Phase 2, Double-Blind, Placebo-Controlled Trial Of Cabergoline For The Treatment Of Cocaine Dependence","To assess the efficacy and safety of cabergoline in reducing cocaine use in subjects with cocaine dependence. It is hypothesized that cabergoline treatment, compared to placebo, will be associated with fewer days of cocaine use as assessed by self-report confirmed with urine assays for benzoylecgonine (BE).",https://datashare.nida.nih.gov/study/nida-cto-0007,NCT00033111
CTO0008_DD.xlsx,NIDA-CTO-0008,"Phase 2, Double-Blind Placebo-Controlled Trial Of Bupropion for the Treatment of Methamphetamine Dependence",The purpose of this study is to assess the efficacy and safety of bupropion in reducing methamphetamine use in subjects with methamphetamine dependence.,https://datashare.nida.nih.gov/study/nidacto0008,NCT00069251
CTO0010_DD.xlsx,NIDA-CTO-0010,Assessment of Potential Interactions Between Methamphetamine and Bupropion,The purpose of this study is to assess potential interactions between intravenous (IV) methamphetamine and oral bupropion.,https://datashare.nida.nih.gov/study/nidacto0010,NCT00040040
CTO0011-DD.xlsx,NIDA-CTO-0011,"Double-Blind, Placebo-Controlled, Dose Response Trial Of Ondansetron For The Treatment Of Methamphetamine Dependence","This study was designed to be a preliminary assessment of the efficacy and safety of 3-wide range doses of ondansetron (0.25, 1.0 and 4.0 mg taken orally twice per day) to reduce methamphetamine use in subjects with methamphetamine dependence and to determine the optimal dose of ondansetron.",https://datashare.nida.nih.gov/index.php/study/nidacto0011,NCT00040053
MDS0002_DD.xlsx,NIDA-MDS-0002,Assessment of Interactions Between Methamphetamine and Aripiprazole,The purpose of this study is to assess the interactions between intravenous methamphetamine and aripiprazole.,https://datashare.nida.nih.gov/index.php/study/nidamds0002,NCT00089440
MDS0003-Dictionary.xlsx,NIDA-MDS-0003,"Phase I, Double-Blind, Placebo-Controlled Assessment Of Potential Interactions Between Intravenous Cocaine And Ethanol And Oral Disulfiram","The primary outcome measures to address the safety of disulfiram treatment are adverse events, changes in cardiac (ECG) and cardiovascular responses (HR, BP) and observations of significant negative psychiatric effects (mPSRS, as well as POMS and self-rated DER) from disulfiram, ethanol and cocaine.",https://datashare.nida.nih.gov/index.php/study/nida-mds-0003,NCT00094289
